source_dataset,split,class,source,destination
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\Aphid_10.jpg,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__Aphid_10.jpg
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_10.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_10.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_100.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_100.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_101.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_101.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_102.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_102.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_104.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_104.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_105.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_105.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_106.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_106.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_11.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_11.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_110.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_110.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_111.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_111.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_112.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_112.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_113.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_113.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_114.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_114.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_115.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_115.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_116.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_116.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_117.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_117.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_118.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_118.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\Aphid_12.jpg,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__Aphid_12.jpg
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_120.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_120.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_121.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_121.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_122.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_122.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_123.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_123.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_124.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_124.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_125.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_125.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_126.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_126.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_127.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_127.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_129.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_129.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\Aphid_13.jpg,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__Aphid_13.jpg
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_13.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_13.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_131.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_131.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_132.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_132.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_133.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_133.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_136.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_136.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_137.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_137.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\Aphid_14.jpg,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__Aphid_14.jpg
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_140.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_140.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_141.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_141.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_142.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_142.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_143.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_143.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_146.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_146.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_147.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_147.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_148.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_148.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_149.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_149.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\Aphid_15.jpg,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__Aphid_15.jpg
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_15.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_15.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_153.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_153.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_154.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_154.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_155.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_155.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_156.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_156.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_158.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_158.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\Aphid_16.jpg,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__Aphid_16.jpg
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_160.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_160.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_161.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_161.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_162.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_162.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_163.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_163.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_164.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_164.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_165.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_165.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_167.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_167.png
数据集1,train,Aphid,E:\AI_dmx\项目\病虫害分类项目\数据集1_已划分.__building__\train\Aphid\aphid_168.png,E:\AI_dmx\项目\病虫害分类项目\合并数据集.__building__\train\Aphid\dataset1__aphid_168.png
