source_dataset,split,class,source,destination
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\dataset1__aphid_58.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000000.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\archive__aphid_527.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000001.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\dataset1__aphid_529.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000002.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\dataset1__aphid_93.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000003.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\dataset1__aphid_686.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000004.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\archive__aphid_380.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000005.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\dataset1__aphid_344.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000006.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\archive__aphid_707.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000007.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\archive__aphid_611.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000008.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\dataset1__aphid_210.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000009.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\archive__aphid_475.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000010.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\archive__aphid_78.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000011.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\archive__aphid_608.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000012.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\dataset1__aphid_714.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000013.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\archive__aphid_710.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000014.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\archive__aphid_149.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000015.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\archive__aphid_328.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000016.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\dataset1__Aphid_28.jpg,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000017.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\dataset1__aphid_726.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000018.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\archive__aphid_625.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000019.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\dataset1__aphid_342.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000020.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\archive__aphid_798.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000021.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\archive__aphid_40.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000022.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\dataset1__aphid_573.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000023.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\dataset1__aphid_156.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000024.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\dataset1__aphid_713.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000025.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\dataset1__aphid_886.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000026.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\archive__aphid_197.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000027.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\dataset1__aphid_707.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000028.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\archive__aphid_60.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000029.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\dataset1__aphid_424.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000030.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\archive__aphid_311.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000031.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\archive__aphid_307.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000032.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\dataset1__aphid_133.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000033.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\dataset1__aphid_418.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000034.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\archive__aphid_831.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000035.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\archive__aphid_367.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000036.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\archive__aphid_807.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000037.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\archive__aphid_501.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000038.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\archive__aphid_642.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000039.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\dataset1__aphid_504.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000040.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\dataset1__aphid_104.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000041.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\dataset1__aphid_58.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000042.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\dataset1__aphid_474.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000043.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\dataset1__aphid_292.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000044.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\archive__aphid_219.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000045.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\dataset1__aphid_619.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000046.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\dataset1__aphid_642.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000047.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\dataset1__aphid_890.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000048.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\archive__aphid_601.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000049.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\dataset1__aphid_844.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000050.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\archive__aphid_308.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000051.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\dataset1__aphid_165.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000052.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\archive__aphid_731.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000053.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\archive__aphid_743.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000054.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\dataset1__aphid_260.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000055.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\dataset1__aphid_867.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000056.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\archive__aphid_600.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000057.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\archive__aphid_244.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000058.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\archive__aphid_763.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000059.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\archive__aphid_347.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000060.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\archive__aphid_186.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000061.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\archive__aphid_746.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000062.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\dataset1__aphid_105.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000063.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\archive__aphid_811.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000064.jpg
augment,train,Aphid,e:\AI\02NLP-project\data\合并数据集\train\Aphid\archive__aphid_511.png,e:\AI\02NLP-project\data\合并数据集\train\Aphid\aug__s42__000065.jpg
